player_age,player_height,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,KeyP,Fouled,Off,Disp,UnsTch,AvgP,Crosses,LongB,ThrB,player_positions,strengths,weaknesses,player_style,BootsName
31,188,61,4645,47,10,9,0,3.6,79.6,1.1,14,7.55,0.4,0.2,0.4,0.0,0.4,0.2,0.1,0,1.2,0.9,0.4,0.8,1.4,19.5,0.1,1.5,0.2,"['Attacking Midfielder', 'Forward']","['Through balls', 'Finishing', 'Headed attempts', 'Holding on to the ball', 'Long shots', 'Key passes']",['Defensive contribution'],"['Likes to play long balls', 'Plays the ball off the ground often', 'Does not dive into tackles']",Phantom GX
22,184,50,3266,22,5,4,0,2.7,84.4,0.3,6,7.49,1.5,0.4,0.8,0.0,0.2,0.5,0.0,0,1.7,2.3,0.1,1.6,2.3,36.7,0.0,0.5,0.3,['Midfielder'],"['Through balls', 'Dribbling', 'Key passes', 'Finishing', 'Long shots', 'Defensive contribution']","['Aerial Duels', 'Crossing']","['Gets fouled often', 'Likes to dribble', 'Likes to cut inside', 'Likes to play short passes', 'Likes to do layoffs', 'Indirect set-piece threat']",Zoom Mercurial Superfly 9
30,177,60,4767,4,16,5,0,1.2,92.5,0.4,5,7.38,1.4,0.9,0.4,0.0,0.9,0.9,0.2,0,2.7,0.8,0.1,0.3,0.6,95.8,1.6,5.3,0.2,"['Defender', 'Defensive Midfielder', 'Midfielder']","['Passing', 'Key passes', 'Crossing', 'Holding on to the ball', 'Taking set-pieces', 'Long shots', 'Concentration']",['Aerial Duels'],"['Likes to shoot from distance', 'Likes to cross', 'Plays the ball off the ground often', 'Likes to play long balls', 'Likes to do layoffs', 'Does not dive into tackles']",Mercurial Vapor 14
26,186,43,3490,2,0,9,0,0.6,93.4,2.7,1,7.1,1.8,1.4,0.8,0.4,2.7,0.6,0.3,0,0.5,0.4,0.0,0.2,0.5,85.5,0.1,3.5,0.0,['Defender'],"['Passing', 'Aerial Duels', 'Concentration']",[],['Likes to play short passes'],Phantom GT2 DF
24,183,41,2790,3,2,2,0,0.9,88.9,0.4,0,6.99,1.9,0.8,0.4,0.1,1.1,0.4,0.2,0,1.2,1.2,0.1,1.0,1.7,51.9,0.2,0.7,0.1,"['Defender', 'Midfielder']","['Passing', 'Dribbling', 'Key passes', 'Holding on to the ball']",[],"['Likes to dribble', 'Likes to play short passes']",Zoom Mercurial Vapor 15
29,183,53,2621,13,5,4,0,2.1,87.2,0.2,1,6.86,0.8,0.2,0.5,0.0,0.1,0.5,0.0,0,1.0,0.7,0.1,0.9,1.7,26.6,0.2,0.2,0.1,"['Midfielder', 'Forward']","['Key passes', 'Passing', 'Finishing', 'Dribbling', 'Through balls', 'Long shots', 'Crossing']",['Defensive contribution'],"['Likes to cut inside', 'Likes to play short passes', 'Likes to do layoffs', 'Likes to dribble', 'Does not dive into tackles']",Zoom Mercurial Vapor 15
28,181,43,1781,7,4,2,0,1.5,88.0,0.4,0,6.85,0.7,0.2,0.5,0.0,0.5,0.3,0.0,0,1.1,0.5,0.2,0.7,1.0,22.9,0.4,0.3,0.0,"['Midfielder', 'Forward']","['Passing', 'Key passes', 'Dribbling', 'Holding on to the ball', 'Long shots']",['Defensive contribution'],"['Likes to do layoffs', 'Likes to cut inside', 'Likes to play short passes', 'Does not dive into tackles']",Ultra Ultimate
28,190,44,3363,3,0,5,0,0.3,93.1,2.9,3,6.94,1.4,1.5,0.9,0.4,3.2,0.4,0.4,0,0.2,0.2,0.0,0.2,0.4,86.8,0.0,2.5,0.0,['Defender'],"['Passing', 'Aerial Duels', 'Ball interception']",['Concentration'],['Likes to play short passes'],Phantom VNM
31,170,33,2100,5,3,2,0,0.8,89.7,0.3,1,6.8,0.8,0.5,0.3,0.1,0.6,0.1,0.0,0,1.2,0.2,0.0,0.6,0.7,49.6,0.3,0.6,0.2,"['Defender', 'Midfielder']","['Holding on to the ball', 'Passing', 'Long shots', 'Crossing', 'Key passes', 'Concentration']",['Aerial Duels'],"['Likes to do layoffs', 'Likes to play short passes', 'Does not dive into tackles']",X Speedportal+
31,188,28,1755,3,1,2,0,0.4,93.8,2.3,0,6.86,0.9,0.8,0.8,0.3,3.3,0.3,0.4,0,0.1,0.2,0.1,0.1,0.3,60.8,0.0,2.2,0.0,"['Defender', 'Defensive Midfielder']","['Passing', 'Concentration']",['Tackling'],"['Likes to play short passes', 'Does not dive into tackles']",Phantom GX
29,176,45,2049,7,7,2,0,1.6,85.7,0.1,0,6.75,0.7,0.3,0.7,0.0,0.3,0.3,0.0,0,0.9,0.2,0.4,0.3,0.9,22.2,0.1,0.5,0.1,"['Attacking Midfielder', 'Forward']","['Passing', 'Through balls', 'Key passes', 'Holding on to the ball']",[],"['Likes to cut inside', 'Indirect set-piece threat', 'Likes to do layoffs', 'Likes to play short passes', 'Commits fouls often']",X Speedportal.1
30,189,42,2311,6,2,7,0,1.3,90.5,1.3,0,6.82,1.1,0.8,0.6,0.1,0.9,0.5,0.4,0,0.7,0.4,0.0,0.2,0.3,47.0,0.1,1.1,0.1,['Midfielder'],"['Passing', 'Key passes', 'Aerial Duels', 'Concentration', 'Blocking the ball']",['Tackling'],"['Likes to do layoffs', 'Likes to play short passes', 'Does not dive into tackles']",X Speedportal.1
36,192,3,136,0,0,0,1,0.0,93.6,0.0,0,6.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.3,0.0,['Goalkeeper'],[],"['Catching crosses', 'Long passing']",[],Copa Pure.1
